<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.12.01	00:00:00	1.08845	1.08845	1.08845	1.08845	1	0	62
2023.12.01	00:01:00	1.08844	1.08877	1.08768	1.08808	11	0	14
2023.12.01	00:02:00	1.08808	1.08821	1.08764	1.08820	24	0	59
2023.12.01	00:03:00	1.08830	1.08830	1.08820	1.08820	2	0	52
2023.12.01	00:04:00	1.08830	1.08835	1.08830	1.08835	2	0	46
2023.12.01	00:05:00	1.08830	1.08847	1.08820	1.08834	12	0	32
2023.12.01	00:06:00	1.08847	1.08851	1.08823	1.08826	8	0	27
2023.12.01	00:07:00	1.08823	1.08826	1.08823	1.08826	4	0	53
2023.12.01	00:08:00	1.08844	1.08844	1.08824	1.08825	18	0	39
2023.12.01	00:09:00	1.08833	1.08834	1.08824	1.08825	10	0	48
2023.12.01	00:10:00	1.08824	1.08834	1.08824	1.08833	8	0	48
2023.12.01	00:11:00	1.08832	1.08833	1.08824	1.08828	6	0	49
2023.12.01	00:12:00	1.08825	1.08825	1.08823	1.08824	5	0	54
2023.12.01	00:13:00	1.08847	1.08847	1.08824	1.08826	3	0	27
2023.12.01	00:14:00	1.08847	1.08847	1.08825	1.08825	3	0	27
2023.12.01	00:15:00	1.08844	1.08844	1.08826	1.08844	3	0	29
2023.12.01	00:16:00	1.08830	1.08858	1.08830	1.08858	5	0	23
2023.12.01	00:17:00	1.08858	1.08858	1.08826	1.08847	14	0	23
2023.12.01	00:18:00	1.08847	1.08861	1.08847	1.08851	7	0	15
2023.12.01	00:19:00	1.08851	1.08861	1.08813	1.08861	5	0	15
2023.12.01	00:20:00	1.08861	1.08861	1.08861	1.08861	1	0	14
2023.12.01	00:21:00	1.08861	1.08861	1.08861	1.08861	1	0	15
2023.12.01	00:22:00	1.08818	1.08861	1.08818	1.08861	2	0	15
2023.12.01	00:23:00	1.08861	1.08861	1.08861	1.08861	1	0	24
2023.12.01	00:24:00	1.08861	1.08861	1.08861	1.08861	1	0	18
2023.12.01	00:25:00	1.08861	1.08861	1.08850	1.08853	8	0	22
2023.12.01	00:26:00	1.08850	1.08853	1.08850	1.08850	11	0	28
2023.12.01	00:27:00	1.08825	1.08854	1.08825	1.08851	10	0	27
2023.12.01	00:28:00	1.08825	1.08853	1.08825	1.08850	10	0	29
2023.12.01	00:29:00	1.08852	1.08852	1.08850	1.08852	7	0	29
2023.12.01	00:30:00	1.08851	1.08857	1.08851	1.08854	13	0	27
2023.12.01	00:31:00	1.08837	1.08857	1.08834	1.08857	14	0	27
2023.12.01	00:32:00	1.08857	1.08858	1.08853	1.08858	10	0	27
2023.12.01	00:33:00	1.08854	1.08861	1.08851	1.08861	10	0	27
2023.12.01	00:34:00	1.08862	1.08862	1.08841	1.08862	3	0	27
2023.12.01	00:35:00	1.08859	1.08864	1.08841	1.08862	7	0	26
2023.12.01	00:36:00	1.08841	1.08864	1.08841	1.08864	7	0	27
2023.12.01	00:37:00	1.08844	1.08866	1.08842	1.08862	11	0	26
2023.12.01	00:38:00	1.08860	1.08860	1.08860	1.08860	1	0	27
2023.12.01	00:39:00	1.08860	1.08863	1.08848	1.08862	6	0	27
2023.12.01	00:40:00	1.08849	1.08865	1.08849	1.08863	7	0	27
2023.12.01	00:41:00	1.08863	1.08865	1.08863	1.08863	8	0	27
2023.12.01	00:42:00	1.08874	1.08874	1.08860	1.08861	12	0	19
2023.12.01	00:43:00	1.08860	1.08873	1.08860	1.08861	8	0	20
2023.12.01	00:44:00	1.08852	1.08863	1.08849	1.08863	10	0	27
2023.12.01	00:45:00	1.08861	1.08862	1.08861	1.08862	8	0	27
2023.12.01	00:46:00	1.08861	1.08862	1.08861	1.08862	6	0	27
2023.12.01	00:47:00	1.08862	1.08864	1.08860	1.08861	11	0	27
2023.12.01	00:48:00	1.08862	1.08863	1.08850	1.08862	5	0	27
2023.12.01	00:49:00	1.08863	1.08864	1.08862	1.08863	6	0	27
2023.12.01	00:50:00	1.08863	1.08864	1.08862	1.08864	5	0	25
2023.12.01	00:51:00	1.08863	1.08864	1.08862	1.08863	6	0	27
2023.12.01	00:52:00	1.08852	1.08865	1.08852	1.08863	5	0	27
2023.12.01	00:53:00	1.08852	1.08883	1.08852	1.08883	18	0	27
2023.12.01	00:54:00	1.08885	1.08905	1.08884	1.08885	37	0	27
2023.12.01	00:55:00	1.08887	1.08893	1.08884	1.08887	68	0	27
2023.12.01	00:56:00	1.08885	1.08901	1.08882	1.08884	60	0	26
2023.12.01	00:57:00	1.08883	1.08887	1.08878	1.08887	24	0	27
2023.12.01	00:58:00	1.08888	1.08899	1.08886	1.08896	38	0	22
2023.12.01	00:59:00	1.08895	1.08898	1.08893	1.08894	50	0	22
2023.12.01	01:00:00	1.08894	1.08908	1.08885	1.08908	36	0	11
2023.12.01	01:01:00	1.08907	1.08907	1.08887	1.08897	15	0	11
2023.12.01	01:02:00	1.08888	1.08893	1.08885	1.08892	9	0	11
2023.12.01	01:03:00	1.08891	1.08911	1.08887	1.08908	14	0	5
2023.12.01	01:04:00	1.08907	1.08915	1.08907	1.08912	9	0	11
2023.12.01	01:05:00	1.08913	1.08913	1.08911	1.08912	4	0	11
2023.12.01	01:06:00	1.08912	1.08914	1.08901	1.08903	14	0	11
2023.12.01	01:07:00	1.08904	1.08913	1.08903	1.08913	7	0	11
2023.12.01	01:08:00	1.08912	1.08912	1.08903	1.08906	8	0	11
2023.12.01	01:09:00	1.08906	1.08909	1.08897	1.08903	14	0	11
2023.12.01	01:10:00	1.08902	1.08902	1.08898	1.08898	4	0	10
2023.12.01	01:11:00	1.08901	1.08901	1.08897	1.08897	3	0	8
2023.12.01	01:12:00	1.08898	1.08898	1.08894	1.08897	12	0	10
2023.12.01	01:13:00	1.08898	1.08903	1.08897	1.08902	8	0	6
2023.12.01	01:14:00	1.08902	1.08902	1.08892	1.08898	10	0	8
2023.12.01	01:15:00	1.08899	1.08903	1.08899	1.08901	6	0	7
2023.12.01	01:16:00	1.08900	1.08901	1.08898	1.08901	10	0	8
2023.12.01	01:17:00	1.08900	1.08906	1.08899	1.08906	19	0	8
2023.12.01	01:18:00	1.08908	1.08910	1.08899	1.08904	21	0	8
2023.12.01	01:19:00	1.08903	1.08904	1.08902	1.08904	11	0	8
2023.12.01	01:20:00	1.08904	1.08907	1.08902	1.08906	16	0	8
2023.12.01	01:21:00	1.08905	1.08908	1.08905	1.08908	13	0	8
2023.12.01	01:22:00	1.08907	1.08910	1.08905	1.08907	20	0	8
2023.12.01	01:23:00	1.08906	1.08908	1.08905	1.08906	8	0	8
2023.12.01	01:24:00	1.08905	1.08908	1.08904	1.08907	15	0	8
2023.12.01	01:25:00	1.08908	1.08921	1.08907	1.08920	19	0	8
2023.12.01	01:26:00	1.08922	1.08930	1.08922	1.08930	13	0	8
2023.12.01	01:27:00	1.08931	1.08936	1.08929	1.08930	19	0	8
2023.12.01	01:28:00	1.08929	1.08931	1.08929	1.08931	11	0	8
2023.12.01	01:29:00	1.08930	1.08936	1.08930	1.08930	29	0	8
2023.12.01	01:30:00	1.08931	1.08938	1.08923	1.08937	24	0	8
2023.12.01	01:31:00	1.08942	1.08943	1.08934	1.08934	15	0	8
2023.12.01	01:32:00	1.08930	1.08934	1.08925	1.08932	17	0	8
2023.12.01	01:33:00	1.08931	1.08932	1.08925	1.08925	7	0	8
2023.12.01	01:34:00	1.08925	1.08925	1.08916	1.08916	8	0	8
2023.12.01	01:35:00	1.08916	1.08916	1.08913	1.08914	8	0	8
2023.12.01	01:36:00	1.08912	1.08916	1.08907	1.08909	16	0	8
2023.12.01	01:37:00	1.08909	1.08927	1.08908	1.08927	18	0	8
2023.12.01	01:38:00	1.08927	1.08933	1.08927	1.08933	18	0	8
2023.12.01	01:39:00	1.08933	1.08938	1.08930	1.08936	6	0	7
2023.12.01	01:40:00	1.08935	1.08937	1.08932	1.08932	9	0	8
2023.12.01	01:41:00	1.08931	1.08937	1.08931	1.08937	13	0	8
2023.12.01	01:42:00	1.08939	1.08939	1.08934	1.08934	12	0	8
2023.12.01	01:43:00	1.08932	1.08934	1.08931	1.08931	4	0	8
2023.12.01	01:44:00	1.08934	1.08934	1.08932	1.08932	2	0	8
2023.12.01	01:45:00	1.08930	1.08930	1.08927	1.08928	5	0	8
2023.12.01	01:46:00	1.08928	1.08932	1.08928	1.08932	15	0	8
2023.12.01	01:47:00	1.08932	1.08933	1.08924	1.08927	9	0	8
2023.12.01	01:48:00	1.08928	1.08928	1.08925	1.08927	9	0	9
2023.12.01	01:49:00	1.08927	1.08931	1.08925	1.08931	12	0	8
2023.12.01	01:50:00	1.08931	1.08931	1.08926	1.08927	4	0	8
